----------------------------------------------------------------------
Mayur Process Log
----------------------------------------------------------------------
Content of log file{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 16964, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 16968, 'username': None, 'name': 'Dell.D3.WinSvc.exe'}
{'pid': 16988, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'sihost.exe'}
{'pid': 16992, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'svchost.exe'}
{'pid': 17096, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'msedge.exe'}
{'pid': 17316, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Code.exe'}
{'pid': 17488, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'RuntimeBroker.exe'}
{'pid': 17580, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'msedge.exe'}
{'pid': 17608, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'msedge.exe'}
{'pid': 17724, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 17872, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Code.exe'}
{'pid': 17912, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'ONENOTEM.EXE'}
{'pid': 17972, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'msedge.exe'}
{'pid': 18148, 'username': None, 'name': 'WmiPrvSE.exe'}
{'pid': 18276, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'IGCCTray.exe'}
{'pid': 18396, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'IGCC.exe'}
{'pid': 18480, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'RuntimeBroker.exe'}
{'pid': 18600, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'WhatsApp.exe'}
{'pid': 18716, 'username': None, 'name': 'svchost.exe'}
{'pid': 18768, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'GitHubDesktop.exe'}
{'pid': 18796, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 18960, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'OpenConsole.exe'}
{'pid': 19032, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 19104, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 19228, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 19260, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 19580, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'RuntimeBroker.exe'}
{'pid': 19804, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 20208, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 20220, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 20392, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 20688, 'username': None, 'name': 'svchost.exe'}
{'pid': 20728, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Code.exe'}
{'pid': 20756, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 21076, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 21204, 'username': None, 'name': 'svchost.exe'}
{'pid': 21280, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'Code.exe'}
{'pid': 21492, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 21524, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'powershell.exe'}
{'pid': 21796, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 21980, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 22020, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 22168, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'conhost.exe'}
{'pid': 22300, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 22800, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 22864, 'username': None, 'name': 'svchost.exe'}
{'pid': 22964, 'username': None, 'name': 'svchost.exe'}
{'pid': 23112, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 23232, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
{'pid': 23368, 'username': 'DESKTOP-B4N5JDC\\Dell', 'name': 'chrome.exe'}
----------------------------------------------------------------------
